lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.3.1,theta.4.1,theta.5.1,theta.6.1,theta.7.1,theta.8.1,theta.9.1,theta.10.1,theta.11.1,theta.12.1,theta.13.1,theta.14.1,theta.15.1,theta.16.1,theta.17.1,theta.18.1,theta.19.1,theta.20.1,theta.21.1,theta.22.1,theta.23.1,theta.24.1,theta.25.1,theta.1.2,theta.2.2,theta.3.2,theta.4.2,theta.5.2,theta.6.2,theta.7.2,theta.8.2,theta.9.2,theta.10.2,theta.11.2,theta.12.2,theta.13.2,theta.14.2,theta.15.2,theta.16.2,theta.17.2,theta.18.2,theta.19.2,theta.20.2,theta.21.2,theta.22.2,theta.23.2,theta.24.2,theta.25.2,phi.1.1,phi.2.1,phi.1.2,phi.2.2,phi.1.3,phi.2.3,phi.1.4,phi.2.4,phi.1.5,phi.2.5
# Adaptation terminated
# Step size = 0.188613
# Diagonal elements of inverse mass matrix:
# 5.05981, 4.92315, 0.388191, 0.342793, 3.81639, 3.76495, 4.34154, 4.33904, 7.00655, 3.95553, 3.93406, 6.85582, 1.69747, 5.19446, 4.83537, 1.51357, 1.18634, 2.53885, 1.89972, 5.36005, 0.990679, 1.60987, 0.827749, 0.391307, 6.28628, 0.0404322, 0.0951269, 5.80096, 34.8549, 17.1513, 37.0694, 0.0531589, 0.0432602
-398.722,0.530407,0.188613,3,15,0,426.788,0.000891528,0.32872,0.347274,0.4823,0.905013,0.0366348,0.038582,0.974784,0.00552392,0.964927,0.157362,0.0133367,0.84734,0.0443102,0.952879,0.104618,0.560766,0.827082,0.167635,0.000150152,0.826326,0.354524,0.0965698,0.418642,0.938255,0.999108,0.67128,0.652726,0.5177,0.0949868,0.963365,0.961418,0.025216,0.994476,0.0350725,0.842638,0.986663,0.15266,0.95569,0.0471215,0.895382,0.439234,0.172918,0.832365,0.99985,0.173674,0.645476,0.90343,0.581358,0.0617447,0.392034,1.97115e-006,0.317673,1.34036e-009,0.289714,0.232498,0.000484964,0.354937,9.44269e-005,0.412564
-401.597,0.964201,0.188613,4,15,0,422.945,0.503369,0.000264312,0.519805,0.290924,0.986298,0.0916448,0.0207018,0.998327,0.00116529,0.991839,0.00904817,0.0171694,0.577935,0.0450589,0.927185,0.231628,0.979094,0.766704,0.32053,0.120014,0.462783,0.980442,0.784935,0.43322,0.974187,0.496631,0.999736,0.480195,0.709076,0.0137016,0.908355,0.979298,0.0016733,0.998835,0.00816104,0.990952,0.982831,0.422065,0.954941,0.0728155,0.768372,0.020906,0.233296,0.67947,0.879986,0.537217,0.0195584,0.215065,0.56678,0.0258134,0.396041,1.32033e-006,0.329717,0.0051519,0.273099,0.272673,0.00114272,0.443173,5.35986e-012,0.279001
-403.028,0.625513,0.188613,5,47,0,422.592,0.0382479,0.000317985,0.22904,0.397181,0.937543,0.0943137,0.00482357,0.999323,0.0142567,0.998094,0.090404,0.0886179,0.92236,0.081764,0.824771,0.182848,0.980916,0.75977,0.453355,0.0436897,0.806187,0.901507,0.448088,0.20958,0.885743,0.961752,0.999682,0.77096,0.602819,0.062457,0.905686,0.995176,0.00067744,0.985743,0.00190616,0.909596,0.911382,0.07764,0.918236,0.175229,0.817152,0.0190842,0.24023,0.546645,0.95631,0.193813,0.0984931,0.551912,0.79042,0.114257,0.424347,3.95324e-011,0.374627,0.000761371,0.18538,0.229206,0.0156461,0.462616,3.15026e-015,0.307416
-407.546,0.804451,0.188613,2,6,1,414.097,0.08389,0.000244568,0.214011,0.379802,0.89842,0.0651975,0.00348927,0.999036,0.00955898,0.997057,0.0753404,0.0924051,0.924309,0.0846375,0.736122,0.111911,0.974923,0.710809,0.619665,0.0611732,0.87003,0.902132,0.513758,0.174995,0.926671,0.91611,0.999755,0.785989,0.620198,0.10158,0.934802,0.996511,0.000964314,0.990441,0.00294297,0.92466,0.907595,0.0756912,0.915363,0.263878,0.888089,0.0250766,0.289191,0.380335,0.938827,0.12997,0.0978677,0.486242,0.825005,0.0733292,0.405907,5.79274e-011,0.389236,0.0128122,0.196347,0.222953,0.0085097,0.461366,3.64292e-017,0.302869
-402.827,0.576969,0.188613,4,15,0,428.551,0.223289,0.0589357,0.335807,0.457494,0.942181,0.0151444,0.044943,0.999702,0.0205827,0.999049,0.30566,0.00809043,0.901922,0.0833975,0.977244,0.276443,0.866783,0.954055,0.0840724,0.0713651,0.74048,0.850916,0.742618,0.556049,0.998096,0.776711,0.941064,0.664193,0.542506,0.0578194,0.984856,0.955057,0.000297839,0.979417,0.000950568,0.69434,0.99191,0.098078,0.916603,0.0227556,0.723557,0.133217,0.0459448,0.915928,0.928635,0.25952,0.149084,0.257382,0.443951,0.00190371,0.428265,1.90103e-010,0.279263,2.34419e-007,0.288746,0.259126,0.00372573,0.372737,3.12684e-016,0.368137
-403.896,0.861134,0.188613,4,15,0,416.011,0.317472,0.0226637,0.262148,0.435421,0.97642,0.00760464,0.0227338,0.999925,0.253794,0.999715,0.069534,0.0014316,0.721334,0.0700044,0.993977,0.10832,0.879934,0.817597,0.0953887,0.13997,0.863944,0.931349,0.595861,0.417819,0.902474,0.682528,0.977336,0.737852,0.564579,0.0235802,0.992395,0.977266,7.52721e-005,0.746206,0.000284909,0.930466,0.998568,0.278666,0.929996,0.00602277,0.89168,0.120066,0.182403,0.904611,0.86003,0.136056,0.0686512,0.404139,0.582181,0.0975257,0.391135,1.78278e-010,0.282077,2.85467e-007,0.293385,0.249255,0.0334026,0.372539,4.2813e-015,0.378206
-401.56,0.602077,0.188613,4,15,0,424.58,0.465174,0.112388,0.291386,0.427087,0.979336,0.030824,0.0236923,0.999792,0.0852113,0.999304,0.133812,0.00477147,0.901133,0.000448973,0.984688,0.0780022,0.813075,0.786146,0.185768,0.607343,0.703382,0.896538,0.469336,0.460819,0.921226,0.534826,0.887612,0.708614,0.572913,0.0206641,0.969176,0.976308,0.000208004,0.914789,0.000695922,0.866188,0.995229,0.0988666,0.999551,0.0153125,0.921998,0.186925,0.213854,0.814232,0.392657,0.296618,0.103462,0.530664,0.539181,0.0787737,0.409997,1.32389e-009,0.307857,1.94342e-005,0.277382,0.276067,0.00476421,0.351521,9.18536e-016,0.372392
-399.24,0.971795,0.188613,4,31,0,415.356,0.003829,0.0197765,0.436711,0.633765,0.915777,0.0793967,0.20599,0.999651,0.056252,0.854739,0.0300255,0.484271,0.437772,0.0400539,0.842472,0.267572,0.869072,0.868594,0.268876,0.000773308,0.627949,0.577751,0.246151,0.241348,0.999127,0.996171,0.980224,0.563289,0.366235,0.0842234,0.920603,0.79401,0.00034858,0.943748,0.145261,0.969975,0.515729,0.562228,0.959946,0.157528,0.732428,0.130928,0.131406,0.731124,0.999227,0.372051,0.422249,0.753849,0.758652,0.00087336,0.358871,3.00973e-009,0.337469,0.00298807,0.297834,0.279576,0.00582623,0.486641,5.01307e-012,0.230794
-407.543,0.584452,0.188613,4,31,0,423.646,0.00213229,0.218581,0.741705,0.461913,0.940706,0.133614,0.148649,0.999102,0.00298447,0.991233,0.281872,0.0267597,0.881638,6.82235e-005,0.976692,0.268414,0.767503,0.667464,0.251634,7.40666e-006,0.850795,0.887634,0.371242,0.42459,0.997244,0.997868,0.781419,0.258295,0.538087,0.0592943,0.866386,0.851351,0.000898413,0.997016,0.00876669,0.718128,0.97324,0.118362,0.999932,0.0233076,0.731586,0.232497,0.332536,0.748366,0.999993,0.149205,0.112366,0.628758,0.57541,0.00275577,0.336082,6.42766e-012,0.358752,0.00180897,0.290697,0.250694,0.014469,0.394027,1.79821e-014,0.35347
-399.675,0.928868,0.188613,4,15,0,419.613,0.422727,0.00357363,0.122586,0.450388,0.991409,0.0147059,0.06866,0.783691,0.00430323,0.986853,0.0063594,0.165222,0.580632,0.398253,0.901494,0.0922973,0.858466,0.915643,0.16804,0.64522,0.460409,0.547253,0.0886197,0.477596,0.878159,0.577273,0.996426,0.877414,0.549612,0.00859125,0.985294,0.93134,0.216309,0.995697,0.0131468,0.993641,0.834778,0.419368,0.601747,0.0985061,0.907703,0.141534,0.0843565,0.83196,0.35478,0.539591,0.452747,0.91138,0.522404,0.121841,0.412199,0.000877821,0.330186,0.00908816,0.257313,0.271821,0.000302566,0.420536,5.23597e-009,0.297677
